numero_item,descricao,tipo,marca,modelo,quantidade,unidade,valor_unitario,valor_total,fornecedor,cnpj_fornecedor,especificacoes,observacoes,raw_descricao,arquivo_origem
7,Transceivers 40GE-Base-LR,produto,Skylane,QFPQL010400D000,20.0,unidade,1500.0,30000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: QFPQL010400D000', 'Unidade: unidade', 'Quantidade: 20', 'Valor Unitário: 1.500,00', 'Valor Total: 30.000,00']",,Transceivers 40GE-Base-LR,Ata#1022_llm.json
8,Transceivers 100GE-Base- LR,produto,Skylane,Q28QD010C00D000,20.0,unidade,2000.0,40000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: Q28QD010C00D000', 'Unidade: unidade', 'Quantidade: 20', 'Valor Unitário: 2.000,00', 'Valor Total: 40.000,00']",,Transceivers 100GE-Base- LR,Ata#1022_llm.json
9,Cabo de interligaçao 10G (DAC) 5 metros,produto,Skylane,DAPSSM051000000,10.0,unidade,300.0,3000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: DAPSSM051000000', 'Unidade: unidade', 'Quantidade: 10', 'Valor Unitário: 300,00', 'Valor Total: 3.000,00']",,Cabo de interligaçao 10G (DAC) 5 metros,Ata#1022_llm.json
10,Cabo de interligaçao  10G (DAC) 10 metros,produto,Skylane,DAPSSM101000000,10.0,unidade,800.0,8000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: DAPSSM101000000', 'Unidade: unidade', 'Quantidade: 10', 'Valor Unitário: 800,00', 'Valor Total: 8.000,00']",,Cabo de interligaçao 10G (DAC) 10 metros,Ata#1022_llm.json
11,Cabo de interligaçao 40G (DAC) 3 metros,produto,Skylane,DAPQQM034000000,10.0,unidade,600.0,6000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: DAPQQM034000000', 'Unidade: unidade', 'Quantidade: 10', 'Valor Unitário: 600,00', 'Valor Total: 6.000,00']",,Cabo de interligaçao 40G (DAC) 3 metros,Ata#1022_llm.json
12,Cabo de interligaçao 40G (DAC) 10 metros,produto,Skylane,DAAQQM104000000,15.0,unidade,2000.0,30000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: DAAQQM104000000', 'Unidade: unidade', 'Quantidade: 15', 'Valor Unitário: 2.000,00', 'Valor Total: 30.000,00']",,Cabo de interligação 40G (DAC) 10 metros,Ata#1022_llm.json
13,Software de Gerenciamento,software,H3C,AD-DC,2.0,unidade,700000.0,1400000.0,Roost Ltda,78.931.474/0009-00,"['Marca: H3C', 'Modelo: AD-DC', 'Unidade: unidade', 'Quantidade: 2', 'Valor Unitário: 700.000,00', 'Valor Total: 1.400.000,00']",,Software de Gerenciamento,Ata#1022_llm.json
14,Serviço de Instalação Serviços: Roost,serviço,Roost,-,1.0,unidade,30000.0,30000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Roost', 'Modelo: -', 'Unidade: unidade', 'Quantidade: 1', 'Valor Unitário: 30.000,00', 'Valor Total: 30.000,00']",,Serviço de Instalação Serviços: Roost,Ata#1022_llm.json
1,"SERVIDORES DE REDE COM GABINETE PARA RACK 19 POLEGADAS COM AS SEGUINTES ESPECIFICAÇÕES: GABINETE PARA RACK PADRÃO 19 POLEGADAS, COM ALTURA MÁXIMA DE 2U; PAINEL FRONTAL COM LEDS OU DISPLAY PARA IDENTIFICAÇÃO DE FALHAS; TRILHOS DESLIZANTES PARA INSTALAÇÃO EM RACK; COM 2 (DOIS) PROCESSADORES DE 64 BITS, FREQUÊNCIA MÍNIMA DE 2.20GHZ CADA, COM PELO MENOS 12 NÚCLEOS POR PROCESSADOR; COM 2 (DOIS) SSD NVME DE 1TB CADA, PARA SISTEMA OPERACIONAL; CAPACIDADE DE INSTALAÇÃO PARA, PELO MENOS, 8 DISCOS SAS DE 3,5 POLEGADAS, COM SUPORTE A ³ HOT-SWAP ´ COM 4 (QUATRO) DISCOS NO PADRÃO SAS DE 3,5 POLEGADAS INSTALADOS. CAPACIDADE MÍNIMA DE 4TB PARA CADA DISCO; CONTROLADORA DE DISCOS COMPATÍVEL COM RAID 1, RAID 5 E RAID 6; MEMÓRIA RAM INSTALADA COM, NO MÍNIMO, 2 MÓDULOS DE 64GB DDR4 RDIMM E SUPORTE A ADVANCED ECC OU SDDC; UNIDADE EXTERNA DE CD-ROM/DVD-ROM USB; PELO MENOS 2 (DUAS) INTERFACES GIGABIT ETHERNET (1000BASE-T); PELO MENOS 2 (DUAS) INTERFACES 10 GIGABIT ETHERNET (10GBASE-T); PELO MENOS 2 (DUAS) INTERFACES SFP COMPATÍVEIS COM 10 GIGABIT ETHERNET (10GBASE-SR); COM 2 (DOIS) CABOS DE REDE CATEGORIA 6A DE 5 METROS CADA; COM 4 (QUATRO) TRANSCEIVERS GBIC 10GBASE-SR PARA INTERFACES SFP ; COM 2 (DOIS) CABOS DE FIBRA ÓPTICA DUAL LC DE 10 METROS CADA; FONTES DE ALIMENTAÇÃO REDUNDANTES HOT-SWAP (2 FONTES); PLACA SFP HBA DE 8GB OU 12GB COM 2 (DUAS) PORTAS; SUPORTE A TRUSTED PLATFORM MODULE 2.0; PORTA DE VÍDEO VGA, COM SUPORTE À RESOLUÇÃO 1024X768 (MÍNIMO 1 PORTA); NÃO DEVERÁ SER ACOMPANHADO POR MONITOR DE VÍDEO; PORTA DE COMUNICAÇÃO USB 2.0 (MÍNIMO 1 PORTA); SISTEMA OPERACIONAL WINDOWS SERVER 2022 STANDARD, LICENCIADO DE FORMA PERPÉTUA; COMPATIBILIDADE GARANTIDA COM MICROSOFT WINDOWS SERVER 2022, VMWARE ESXI, SUSE LINUX ENTERPRISE SERVER E RED HAT ENTERPRISE LINUX; EQUIPAMENTOS NOVOS, EM LINHA DE PRODUÇÃO DO FABRICANTE; HARDWARE DE UM ÚNICO FABRICANTE OU OEM HOMOLOGADO; CERTIFICAÇÃO DE EFICIÊNCIA ENERGÉTICA CONFORME IEC 60950 OU EQUIVALENTE, ACREDITADO PELO INMETRO OU ORGANISMO INTERNACIONAL EQUIVALENTE; ATENDIMENTO À LEI Nº 12.305/2010 (POLÍTICA NACIONAL DE RESÍDUOS SÓLIDOS); INCLUSÃO DE MANUAIS, CABOS DE ALIMENTAÇÃO PADRÃO C13/NBR14136 (MÍNIMO 1,5M DE COMPRIMENTO) E KITS DE FIXAÇÃO EM RACK; EMBALAGEM INDIVIDUAL ADEQUADA PARA TRANSPORTE E ARMAZENAMENTO, ATENDENDO REQUISITOS DE SUSTENTABILIDADE; GARANTIA MÍNIMA DE 3 (TRÊS) ANOS, COM SUPORTE TÉCNICO ON-SITE EM SALVADOR - BA SEM CUSTOS ADICIONAIS, COM INSTALAÇÃO E TESTAGEM INCLUSA.",,,,,,94800.0,284400.0,LOGAN-IT COMÉRCIO E SERVIÇOS LTDA,,"['GABINETE PARA RACK 19 POLEGADAS', 'ALTURA MÁXIMA DE 2U', '2 processadores de 64 bits a 2.20 GHz, pelo menos 12 núcleos por processador', '2 SSD NVMe de 1TB cada', 'capacidade para 8 discos SAS de 3,5 polegadas com hot-swap, 4 discos instalados', 'capacidade mínima de 4 TB por disco', 'controladora de discos compatível com RAID 1, RAID 5 e RAID 6', 'memória RAM de no mínimo 2 módulos de 64GB DDR4 RDIMM com ECC', 'unidade externa de CD-ROM/DVD-ROM USB', 'interfaces: 2x Gigabit Ethernet, 2x 10 Gigabit Ethernet, 2x SFP 10GBASE-SR', '2 cabos de rede Cat6A de 5m', '4 transceivers GBIC 10GBASE-SR', '2 cabos de fibra óptica dual LC de 10m', 'fontes de alimentação redundantes hot-swap (2 fontes)', 'placa SFP HBA de 8GB ou 12GB com 2 portas', 'suporte a TPM 2.0', 'porta de vídeo VGA (1 porta mínimo) sem monitor', 'porta USB 2.0 (1 porta mínimo)', 'SISTEMA OPERACIONAL Windows Server 2022 Standard, licenciado perpétuo', 'compatibilidade com Windows Server 2022, VMware ESXi, SUSE Linux Enterprise Server e Red Hat Enterprise Linux', 'equipamentos novos, em linha de produção', 'hardware de único fabricante (OEM) homologado', 'certificação de eficiência energética IEC 60950 (ou equivalente)', 'conformidade com leis de resíduos sólidos', 'manuais, cabos de alimentação C13/NBR14136 (mínimo 1,5m) e kits de fixação em rack', 'embalagem individual para transporte e armazenamento', 'garantia mínima de 3 anos com suporte técnico on-site em Salvador - BA']",,"Descrição:  SERVIDORES DE REDE COM GABINETE PARA RACK 19 POLEGADAS COM AS SEGUINTES ESPECIFICAÇÕES: GABINETE PARA RACK PADRÃO 19 POLEGADAS, COM ALTURA MÁXIMA DE 2U; PAINEL FRONTAL COM LEDS OU DISPLAY PARA IDENTIFICAÇÃO DE FALHAS; TRILHOS DESLIZANTES PARA INSTALAÇÃO EM RACK; COM 2 (DOIS) PROCESSADORES DE 64 BITS, FREQUÊNCIA MÍNIMA DE 2.20GHZ CADA, COM PELO MENOS 12 NÚCLEOS POR PROCESSADOR; COM 2 (DOIS) SSD NVME DE 1TB CADA, PARA SISTEMA OPERACIONAL; CAPACIDADE DE INSTALAÇÃO PARA, PELO MENOS, 8 DISCOS SAS DE 3,5 POLEGADAS, COM SUPORTE A ³ HOT-SWAP ´ COM 4 (QUATRO) DISCOS NO PADRÃO SAS DE 3,5 POLEGADAS INSTALADOS. CAPACIDADE MÍNIMA DE 4TB PARA CADA DISCO; CONTROLADORA DE DISCOS COMPATÍVEL COM RAID 1, RAID 5 E RAID 6; MEMÓRIA RAM INSTALADA COM, NO MÍNIMO, 2 MÓDULOS DE 64GB DDR4 RDIMM E SUPORTE A ADVANCED ECC OU SDDC; UNIDADE EXTERNA DE CD-ROM/DVD-ROM USB; PELO MENOS 2 (DUAS) INTERFACES GIGABIT ETHERNET (1000BASE-T); PELO MENOS 2 (DUAS) INTERFACES 10 GIGABIT ETHERNET (10GBASE-T); PELO MENOS 2 (DUAS) INTERFACES SFP COMPATÍVEIS COM 10 GIGABIT ETHERNET (10GBASE-SR); COM 2 (DOIS) CABOS DE REDE CATEGORIA 6A DE 5 METROS CADA; COM 4 (QUATRO) TRANSCEIVERS GBIC 10GBASE-SR PARA INTERFACES SFP ; COM 2 (DOIS) CABOS DE FIBRA ÓPTICA DUAL LC DE 10 METROS CADA; FONTES DE ALIMENTAÇÃO REDUNDANTES HOT-SWAP (2 FONTES); PLACA SFP HBA DE 8GB OU 12GB COM 2 (DUAS) PORTAS; SUPORTE A TRUSTED PLATFORM MODULE 2.0; PORTA DE VÍDEO VGA, COM SUPORTE À RESOLUÇÃO 1024X768 (MÍNIMO 1 PORTA); NÃO DEVERÁ SER ACOMPANHADO POR MONITOR DE VÍDEO; PORTA DE COMUNICAÇÃO USB 2.0 (MÍNIMO 1 PORTA); SISTEMA OPERACIONAL WINDOWS SERVER 2022 STANDARD, LICENCIADO DE FORMA PERPÉTUA; COMPATIBILIDADE GARANTIDA COM MICROSOFT WINDOWS SERVER 2022, VMWARE ESXI, SUSE LINUX ENTERPRISE SERVER E RED HAT ENTERPRISE LINUX; EQUIPAMENTOS NOVOS, EM LINHA DE PRODUÇÃO DO FABRICANTE; HARDWARE DE UM ÚNICO FABRICANTE OU OEM HOMOLOGADO; CERTIFICAÇÃO DE EFICIÊNCIA ENERGÉTICA CONFORME IEC 60950 OU EQUIVALENTE, ACREDITADO PELO INMETRO OU ORGANISMO INTERNACIONAL EQUIVALENTE; ATENDIMENTO À LEI Nº 12.305/2010 (POLÍTICA NACIONAL DE RESÍDUOS SÓLIDOS); INCLUSÃO DE MANUAIS, CABOS DE ALIMENTAÇÃO PADRÃO C13/NBR14136 (MÍNIMO 1,5M DE COMPRIMENTO) E KITS DE FIXAÇÃO EM RACK; EMBALAGEM INDIVIDUAL ADEQUADA PARA TRANSPORTE E ARMAZENAMENTO, ATENDENDO REQUISITOS DE SUSTENTABILIDADE; GARANTIA MÍNIMA DE 3 (TRÊS) ANOS, COM SUPORTE TÉCNICO ON-SITE EM SALVADOR - BA SEM CUSTOS ADICIONAIS, COM INSTALAÇÃO E TESTAGEM INCLUSA.",Ata#1126 - BLL_llm.json
2,"SWITCH DE AGREGAÇÃO MODELO HUAWEI S6730-H24X6C; TIPO: FIBRA, 24 PORTAS; QUATRO FONTES DE ENERGIA REDUNDANTES; INCLUSÃO DE LICENÇA PERPÉTUA PARA HABILITAÇÃO DE: IPV4/IPV6; MPLS; SVF; INCLUSÃO DE LICENÇA PERPÉTUA PARA HABILITAÇÃO DE PORTAS 40GE E 100GE; FONTE DE ENERGIA MODELO 02312FFU ± 600W AC POWER MODULE, PART NUMBERS DOS PRODUTOS A SEREM FORNECIDOS: 02354HHV; 02312FFU-002; 81401367; 88037BNN; 88134UFA-4DX, COM INSTALAÇÃO E TESTAGEM INCLUSA.",,,,,,32083.79,64167.58,LOGAN-IT COMÉRCIO E SERVIÇOS LTDA,,"['SWITCH DE AGREGAÇÃO HUAWEI S6730-H24X6C', 'Tipo: fibra, 24 portas', 'Quatro fontes de energia redundantes', 'Licença perpétua IPV4/IPV6, MPLS, SVF', 'Licença perpétua para portas 40GE e 100GE', 'Fonte de energia modelo 02312FFU ± 600W', 'Part numbers dos produtos: 02354HHV; 02312FFU-002; 81401367; 88037BNN; 88134UFA-4DX', 'Instalação e testagem inclusas']",,"Descrição:  SWITCH DE AGREGAÇÃO MODELO HUAWEI S6730-H24X6C; TIPO: FIBRA, 24 PORTAS; QUATRO FONTES DE ENERGIA REDUNDANTES; INCLUSÃO DE LICENÇA PERPÉTUA PARA HABILITAÇÃO DE: IPV4/IPV6; MPLS; SVF; INCLUSÃO DE LICENÇA PERPÉTUA PARA HABILITAÇÃO DE PORTAS 40GE E 100GE; FONTE DE ENERGIA MODELO 02312FFU ± 600W AC POWER MODULE, PART NUMBERS DOS PRODUTOS A SEREM FORNECIDOS: 02354HHV; 02312FFU-002; 81401367; 88037BNN; 88134UFA-4DX, COM INSTALAÇÃO E TESTAGEM INCLUSA.",Ata#1126 - BLL_llm.json
3,"SWITCH DE ACESSO MODELO HUAWEI CLOUDENGINE S5732-H24UM2C. TIPO: FIBRA, 24 PORTAS. QUATRO FONTES DE ENERGIA REDUNDANTES. CONDIÇÕES GERAIS PARA AMBOS MODELOS: GARANTIA MÍNIMA DE 3 (TRÊS) ANOS COM COBERTURA ON-SITE EM SALVADOR; SUPORTE TÉCNICO DO FABRICANTE INCLUSO, COM FORNECIMENTO DE PEÇAS. EQUIPAMENTOS NOVOS, EM LINHA DE PRODUÇÃO. ACOMPANHADOS DE: MANUAIS TÉCNICOS; CABOS DE ALIMENTAÇÃO PADRÃO C13/NBR14136; SUPORTES PARA FIXAÇÃO EM RACK; MÍDIAS DE INSTALAÇÃO, SE APLICÁVEIS. PART NUMBERS DOS PRODUTOS A SEREM FORNECIDOS: 02354VCM-002; 0231PAC; 88037BNJ; 88134UFA-4VC.",,,,,,51140.07,102280.14,LOGAN-IT COMÉRCIO E SERVIÇOS LTDA,,"['SWITCH DE ACESSO HUAWEI CLOUDENGINE S5732-H24UM2C', 'Tipo: fibra, 24 portas', 'Quatro fontes de energia redundantes', 'Condições gerais: garantia 3 anos onsite em Salvador', 'Suporte técnico do fabricante incluso', 'Equipamentos novos', 'Acompanhados de manuais técnicos', 'Part numbers: 02354VCM-002; 0231PAC; 88037BNJ; 88134UFA-4VC']",,"Descrição:  SWITCH DE ACESSO MODELO HUAWEI CLOUDENGINE S5732-H24UM2C. TIPO: FIBRA, 24 PORTAS. QUATRO FONTES DE ENERGIA REDUNDANTES. CONDIÇÕES GERAIS PARA AMBOS MODELOS: GARANTIA MÍNIMA DE 3 (TRÊS) ANOS COM COBERTURA ON-SITE EM SALVADOR; SUPORTE TÉCNICO DO FABRICANTE INCLUSO, COM FORNECIMENTO DE PEÇAS. EQUIPAMENTOS NOVOS, EM LINHA DE PRODUÇÃO. ACOMPANHADOS DE: MANUAIS TÉCNICOS; CABOS DE ALIMENTAÇÃO PADRÃO C13/NBR14136; SUPORTES PARA FIXAÇÃO EM RACK; MÍDIAS DE INSTALAÇÃO, SE APLICÁVEIS. PART NUMBERS DOS PRODUTOS A SEREM FORNECIDOS: 02354VCM-002; 0231PAC; 88037BNJ; 88134UFA-4VC.",Ata#1126 - BLL_llm.json
1,"Teclado usb, ABNT2, padrão",produto,Multilaser,Multilaser,33.0,UNID,13.28,438.24,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,"['ABNT2', 'padrão']",,"Descrição: Teclado usb, ABNT2, padrão",Ata#1004 - BLL_llm.json
2,"Mouse usb, 3 botões, 1000, DPI, padrão",produto,Multilaser,Multilaser,33.0,UNID,5.39,177.87,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,"['3 botões', '1000 DPI', 'padrão']",,"Descrição: Mouse usb, 3 botões, 1000, DPI, padrão",Ata#1004 - BLL_llm.json
3,Teclado e mouse sem fio,produto,Multilaser,Multilaser,33.0,UNID,74.3,2451.9,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,['Teclado e mouse sem fio'],,Descrição: Teclado e mouse sem fio,Ata#1004 - BLL_llm.json
4,Suporte de refrigeração para notebook,produto,B-Max,B-Max,17.0,UNID,41.51,705.67,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,['Suporte de refrigeração para notebook'],,Descrição: Suporte de refrigeração para notebook ¶,Ata#1004 - BLL_llm.json
5,"Cabo usb, A Macho Para Usb A Macho 2.0 1,80 Metros",produto,Knup,Knup,13.0,UNID,6.22,80.86,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,"['Cabo USB 2.0 1,80m', 'A Macho']",,"Descrição: Cabo usb, A Macho Para Usb A Macho 2.0 1,80 Metros",Ata#1004 - BLL_llm.json
6,Cabo HDMI de 2 metros,produto,Exbom,Exbom,17.0,UNID,10.37,176.29,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,['Cabo HDMI 2m'],,Descrição: Cabo HDMI de 2 metros,Ata#1004 - BLL_llm.json
7,Cabo HDMI de 3 metros,produto,Exbom,Exbom,33.0,UNID,15.77,520.41,,,"['comprimento: 3 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 3 metros,Ata#1004 - BLL_llm.json
8,Cabo HDMI de 5 metros,produto,Exbom,Exbom,17.0,UNID,20.75,352.75,,,"['comprimento: 5 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 5 metros,Ata#1004 - BLL_llm.json
9,Cabo HDMI de 10 metros,produto,Exbom,Exbom,17.0,UNID,24.9,423.3,,,"['comprimento: 10 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 10 metros,Ata#1004 - BLL_llm.json
11,Cabo HDMI de 20 metros,produto,Exbom,Exbom,12.0,UNID,47.73,572.76,,,"['comprimento: 20 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 20 metros,Ata#1004 - BLL_llm.json
12,Cabo HDMI de 30 metros,produto,Exbom,Exbom,10.0,UNID,66.41,664.1,,,"['comprimento: 30 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 30 metros,Ata#1004 - BLL_llm.json
13,Cabo HDMI de 50 metros,produto,Exbom,Exbom,7.0,UNID,205.47,1438.29,,,"['comprimento: 50 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 50 metros,Ata#1004 - BLL_llm.json
14,Cabo VGA 3 metros,produto,Exbom,Exbom,17.0,UNID,16.6,282.2,,,[],,Descrição: Cabo VGA 3 metros,Ata#1004 - BLL_llm.json
15,Adaptador de HDMI para VGA,produto,Exbom,Exbom,3.0,UNID,12.45,37.35,,,[],,Descrição: Adaptador de HDMI para VGA,Ata#1004 - BLL_llm.json
16,Bateria para BIOS Voltagem 3v,produto,Easy Top,Easy Top,17.0,UNID,3.6,61.2,,,[],,Descrição: Bateria para BIOS Voltagem 3v,Ata#1004 - BLL_llm.json
17,Pilha AA,produto,Easy Top,Easy Top,33.0,UNID,3.44,113.52,,,[],,Descrição: Pilha AA,Ata#1004 - BLL_llm.json
18,Pilha AAA,produto,Easy Top,Easy Top,33.0,UNID,3.44,113.52,,,[],,Descrição: Pilha AAA,Ata#1004 - BLL_llm.json
19,Mouse PAD preto,produto,Isoprene,Isoprene,33.0,UNID,3.32,109.56,,,[],,Descrição: Mouse PAD preto,Ata#1004 - BLL_llm.json
20,Fone de Ouvido Headphone,produto,Multilaser,Multilaser,27.0,UNID,56.03,1512.81,,,[],,Descrição: Fone de Ouvido Headphone,Ata#1004 - BLL_llm.json
22,"Alicate de Crimpar com catraca 3 em 1, corta, decapa e crimpa",produto,Multilaser,Multilaser,7.0,UNID,39.43,276.01,,,[],,"Descrição: Alicate de Crimpar com catraca 3 em 1, corta, decapa e crimpa",Ata#1004 - BLL_llm.json
23,Cabo para internet cat5cx c/ 305 mt,produto,Multilaser,Multilaser,10.0,UNID,367.36,3673.6,,,[],,Descrição: Cabo para internet cat5cx c/ 305 mt,Ata#1004 - BLL_llm.json
24,Conector rj45,produto,Forceline,Forceline,8.0,UNID,0.41,3.28,,,[],,Descrição: Conector rj45,Ata#1004 - BLL_llm.json
25,Estabilizador bivol 300va,produto,Forceline,Forceline,33.0,UNID,63.51,2095.83,,,[],,Descrição: Estabilizador bivol 300va,Ata#1004 - BLL_llm.json
26,Estabilizador bivolt 500va,produto,Forceline,Forceline,33.0,UNID,78.86,2602.38,,,[],,Descrição: Estabilizador bivolt 500va,Ata#1004 - BLL_llm.json
27,Nobreak bivolt 600va,produto,Forceline,Forceline,17.0,UNID,244.91,4163.47,,,[],,Descrição: Nobreak bivolt 600va,Ata#1004 - BLL_llm.json
28,Nobreak bivolt de 1200va,produto,Forceline,Forceline,3.0,UNID,410.95,1232.85,,,[],,Descrição: Nobreak bivolt de 1200va,Ata#1004 - BLL_llm.json
29,Transformador de 1500va,produto,Forceline,Forceline,3.0,UNID,658.92,1976.76,,,[],,Descrição: Transformador de 1500va,Ata#1004 - BLL_llm.json
1,Memoria DDR3 4gb para desktop,produto,Hynix,Hynix,8.0,UNID,16.6,132.8,,,[],,Memoria DDR3 4gb para desktop,Ata#1004 - BLL_llm.json
2,Memoria DDR3 8gb para desktop,produto,Hynix,Hynix,8.0,UNID,120.0,960.0,,,[],,Memoria DDR3 8gb para desktop,Ata#1004 - BLL_llm.json
3,Memoria DDR4 4GB para desktop,produto,Hynix,Hynix,8.0,UNID,110.0,880.0,,,[],,Memoria DDR4 4GB para desktop,Ata#1004 - BLL_llm.json
4,Memoria DDR4 8GB para desktop,produto,Hynix,Hynix,8.0,UNID,130.0,1040.0,,,[],,Memoria DDR4 8GB para desktop,Ata#1004 - BLL_llm.json
5,Memória DDR4 4GB para notebook,produto,Hynix,Hynix,8.0,UNID,60.0,480.0,,,[],,Memória DDR4 4GB para notebook,Ata#1004 - BLL_llm.json
6,Memória DDR4 8GB para notebook,produto,Hynix,Hynix,8.0,UNID,85.0,680.0,,,[],,Memória DDR4 8GB para notebook,Ata#1004 - BLL_llm.json
7,"Placa mãe, LGA 1151, DDR4 para desktop",produto,MSI,,7.0,UNID,450.0,3150.0,,,[],,"Placa mãe, LGA 1151, DDR4 para desktop",Ata#1004 - BLL_llm.json
